Customer,Email,Amount,Date
karim,rahim@gmail.com,,01-03-2025
 Rahim ,,500,01-03-2025
SALMA,rahim@gmail.com,,"March 1, 2025"
 nabila,,800,01-03-2025
SALMA,salma@gmail.com,,
RAFI,karim@gmail.com,1200,01-03-2025
 Rahim ,,700,2025/03/01
SALMA,,450,"March 1, 2025"
karim,karim@gmail.com,500,
,karim@gmail.com,450,01-03-2025
,,500,
,,1200,01-03-2025
RAFI,,One Thousand,2025/03/01
 Rahim ,,,
SALMA,rahim@gmail.com,800,
RAFI,karim@gmail.com,One Thousand,01-03-2025
Jamal ,karim@gmail.com,One Thousand,01-03-2025
RAFI,rahim@gmail.com,1200,2025/03/01
RAFI,karim@gmail.com,One Thousand,
 Rahim ,rahim@gmail.com,One Thousand,01-03-2025
SALMA,,450,
 nabila,salma@gmail.com,800,
karim,rahim@gmail.com,One Thousand,
karim,,500,01-03-2025
 nabila,karim@gmail.com,500,
,karim@gmail.com,,01-03-2025
 nabila,salma@gmail.com,1200,01-03-2025
,,,01-03-2025
 nabila,karim@gmail.com,700,01-03-2025
Jamal ,salma@gmail.com,700,
,,,"March 1, 2025"
karim,rahim@gmail.com,700,"March 1, 2025"
 nabila,,500,
 nabila,,800,2025/03/01
 nabila,rahim@gmail.com,1200,
karim,karim@gmail.com,,01-03-2025
 Rahim ,salma@gmail.com,800,
 nabila,rahim@gmail.com,700,01-03-2025
SALMA,rahim@gmail.com,1200,
 nabila,rahim@gmail.com,1200,
,karim@gmail.com,,"March 1, 2025"
SALMA,,450,2025/03/01
karim,rahim@gmail.com,800,01-03-2025
SALMA,,500,01-03-2025
,,1200,01-03-2025
RAFI,salma@gmail.com,450,2025/03/01
SALMA,rahim@gmail.com,One Thousand,"March 1, 2025"
 nabila,,1200,
SALMA,karim@gmail.com,700,"March 1, 2025"
SALMA,salma@gmail.com,700,2025/03/01
 nabila,,,2025/03/01
RAFI,karim@gmail.com,,
 Rahim ,,700,01-03-2025
 nabila,karim@gmail.com,800,
,,,2025/03/01
 nabila,,700,01-03-2025
Jamal ,rahim@gmail.com,One Thousand,
SALMA,,450,01-03-2025
Jamal ,salma@gmail.com,,01-03-2025
RAFI,salma@gmail.com,700,2025/03/01
 Rahim ,,One Thousand,"March 1, 2025"
SALMA,rahim@gmail.com,700,"March 1, 2025"
 nabila,karim@gmail.com,One Thousand,"March 1, 2025"
,,800,"March 1, 2025"
SALMA,,1200,01-03-2025
,,,"March 1, 2025"
 Rahim ,,,
 Rahim ,rahim@gmail.com,One Thousand,"March 1, 2025"
,,,01-03-2025
SALMA,rahim@gmail.com,500,01-03-2025
SALMA,karim@gmail.com,1200,"March 1, 2025"
karim,rahim@gmail.com,500,"March 1, 2025"
Jamal ,salma@gmail.com,450,
karim,karim@gmail.com,500,
karim,,700,
SALMA,,1200,
SALMA,salma@gmail.com,,2025/03/01
RAFI,,One Thousand,
 nabila,,,
 Rahim ,karim@gmail.com,,2025/03/01
SALMA,salma@gmail.com,1200,
karim,,700,2025/03/01
karim,salma@gmail.com,1200,"March 1, 2025"
Jamal ,karim@gmail.com,1200,2025/03/01
Jamal ,rahim@gmail.com,700,01-03-2025
 nabila,,,01-03-2025
,,450,01-03-2025
,,800,"March 1, 2025"
RAFI,,800,2025/03/01
 nabila,,500,01-03-2025
 Rahim ,karim@gmail.com,450,"March 1, 2025"
Jamal ,karim@gmail.com,One Thousand,2025/03/01
SALMA,,800,2025/03/01
,karim@gmail.com,800,
RAFI,,800,2025/03/01
RAFI,karim@gmail.com,800,"March 1, 2025"
 Rahim ,,450,
Jamal ,karim@gmail.com,800,"March 1, 2025"
 Rahim ,,500,"March 1, 2025"
karim,karim@gmail.com,800,2025/03/01
 nabila,salma@gmail.com,,"March 1, 2025"
SALMA,salma@gmail.com,1200,"March 1, 2025"
RAFI,karim@gmail.com,450,"March 1, 2025"
 nabila,,450,2025/03/01
 nabila,karim@gmail.com,700,01-03-2025
Jamal ,rahim@gmail.com,One Thousand,"March 1, 2025"
 Rahim ,salma@gmail.com,700,2025/03/01
RAFI,,700,
Jamal ,rahim@gmail.com,800,"March 1, 2025"
Jamal ,karim@gmail.com,800,"March 1, 2025"
RAFI,karim@gmail.com,One Thousand,2025/03/01
karim,karim@gmail.com,500,
 nabila,,500,2025/03/01
SALMA,,450,01-03-2025
karim,,700,
SALMA,,700,
SALMA,karim@gmail.com,1200,
,rahim@gmail.com,800,"March 1, 2025"
SALMA,rahim@gmail.com,One Thousand,"March 1, 2025"
,,800,01-03-2025
Jamal ,,One Thousand,
RAFI,,500,"March 1, 2025"
 nabila,salma@gmail.com,800,2025/03/01
Jamal ,salma@gmail.com,1200,
karim,salma@gmail.com,700,01-03-2025
karim,rahim@gmail.com,,
RAFI,karim@gmail.com,700,01-03-2025
 nabila,,500,"March 1, 2025"
karim,,500,
karim,karim@gmail.com,One Thousand,"March 1, 2025"
 nabila,,1200,2025/03/01
 nabila,salma@gmail.com,1200,"March 1, 2025"
 nabila,karim@gmail.com,One Thousand,2025/03/01
SALMA,,One Thousand,"March 1, 2025"
karim,,1200,"March 1, 2025"
 Rahim ,salma@gmail.com,800,
Jamal ,rahim@gmail.com,450,"March 1, 2025"
SALMA,,800,01-03-2025
karim,,450,01-03-2025
Jamal ,,450,2025/03/01
 Rahim ,salma@gmail.com,1200,"March 1, 2025"
 Rahim ,,450,
RAFI,,One Thousand,2025/03/01
SALMA,rahim@gmail.com,450,01-03-2025
Jamal ,salma@gmail.com,500,
Jamal ,salma@gmail.com,One Thousand,"March 1, 2025"
SALMA,,450,
,,500,01-03-2025
RAFI,,450,"March 1, 2025"
karim,rahim@gmail.com,1200,
RAFI,karim@gmail.com,1200,
Jamal ,rahim@gmail.com,800,"March 1, 2025"
karim,rahim@gmail.com,800,2025/03/01
 Rahim ,karim@gmail.com,1200,01-03-2025
 Rahim ,,800,01-03-2025
 nabila,karim@gmail.com,500,"March 1, 2025"
,,One Thousand,2025/03/01
Jamal ,karim@gmail.com,700,01-03-2025
RAFI,karim@gmail.com,,
Jamal ,salma@gmail.com,700,"March 1, 2025"
Jamal ,karim@gmail.com,,
SALMA,rahim@gmail.com,One Thousand,2025/03/01
SALMA,karim@gmail.com,700,2025/03/01
Jamal ,rahim@gmail.com,700,2025/03/01
karim,salma@gmail.com,450,"March 1, 2025"
 Rahim ,,800,2025/03/01
,rahim@gmail.com,800,"March 1, 2025"
Jamal ,salma@gmail.com,500,2025/03/01
,karim@gmail.com,450,
Jamal ,karim@gmail.com,500,01-03-2025
 Rahim ,karim@gmail.com,,
karim,rahim@gmail.com,450,"March 1, 2025"
karim,karim@gmail.com,One Thousand,
karim,,450,2025/03/01
karim,karim@gmail.com,450,
,salma@gmail.com,700,"March 1, 2025"
karim,karim@gmail.com,,"March 1, 2025"
SALMA,salma@gmail.com,500,"March 1, 2025"
karim,karim@gmail.com,1200,01-03-2025
 nabila,rahim@gmail.com,500,"March 1, 2025"
karim,karim@gmail.com,700,2025/03/01
SALMA,,450,
RAFI,,One Thousand,2025/03/01
,,800,"March 1, 2025"
,karim@gmail.com,450,"March 1, 2025"
Jamal ,karim@gmail.com,1200,"March 1, 2025"
SALMA,karim@gmail.com,One Thousand,"March 1, 2025"
karim,salma@gmail.com,1200,01-03-2025
,salma@gmail.com,500,01-03-2025
 Rahim ,,One Thousand,"March 1, 2025"
SALMA,,450,2025/03/01
karim,salma@gmail.com,450,01-03-2025
SALMA,rahim@gmail.com,One Thousand,"March 1, 2025"
Jamal ,,One Thousand,2025/03/01
 Rahim ,karim@gmail.com,500,2025/03/01
 Rahim ,,500,
 Rahim ,,1200,2025/03/01
Jamal ,salma@gmail.com,700,"March 1, 2025"
SALMA,rahim@gmail.com,,2025/03/01
 Rahim ,,,2025/03/01
karim,karim@gmail.com,450,01-03-2025
RAFI,karim@gmail.com,,01-03-2025
 Rahim ,karim@gmail.com,450,01-03-2025
,,450,
,salma@gmail.com,500,2025/03/01
 Rahim ,,450,2025/03/01
,rahim@gmail.com,800,"March 1, 2025"
 Rahim ,salma@gmail.com,One Thousand,
Jamal ,salma@gmail.com,500,
SALMA,,800,
SALMA,rahim@gmail.com,450,"March 1, 2025"
 Rahim ,karim@gmail.com,450,
 Rahim ,,500,2025/03/01
SALMA,salma@gmail.com,700,"March 1, 2025"
 Rahim ,karim@gmail.com,800,"March 1, 2025"
SALMA,salma@gmail.com,1200,
karim,,450,"March 1, 2025"
karim,salma@gmail.com,,
Jamal ,karim@gmail.com,450,01-03-2025
SALMA,salma@gmail.com,800,
RAFI,,1200,2025/03/01
RAFI,,800,"March 1, 2025"
SALMA,,800,"March 1, 2025"
 Rahim ,rahim@gmail.com,800,2025/03/01
RAFI,,450,01-03-2025
 nabila,salma@gmail.com,1200,2025/03/01
karim,,800,
RAFI,salma@gmail.com,,01-03-2025
karim,karim@gmail.com,One Thousand,"March 1, 2025"
SALMA,karim@gmail.com,,2025/03/01
karim,rahim@gmail.com,,
 nabila,salma@gmail.com,450,
RAFI,,800,"March 1, 2025"
karim,salma@gmail.com,,2025/03/01
 nabila,rahim@gmail.com,800,01-03-2025
RAFI,salma@gmail.com,One Thousand,"March 1, 2025"
SALMA,,700,01-03-2025
 Rahim ,rahim@gmail.com,700,2025/03/01
,karim@gmail.com,450,01-03-2025
 Rahim ,rahim@gmail.com,800,01-03-2025
 nabila,salma@gmail.com,1200,2025/03/01
Jamal ,,500,01-03-2025
,,,01-03-2025
 Rahim ,rahim@gmail.com,450,
karim,karim@gmail.com,1200,2025/03/01
,karim@gmail.com,450,2025/03/01
SALMA,,,01-03-2025
karim,,,2025/03/01
SALMA,salma@gmail.com,One Thousand,
RAFI,rahim@gmail.com,One Thousand,01-03-2025
 nabila,,700,2025/03/01
karim,rahim@gmail.com,800,"March 1, 2025"
karim,rahim@gmail.com,One Thousand,"March 1, 2025"
Jamal ,rahim@gmail.com,800,
,,500,2025/03/01
 nabila,,800,2025/03/01
SALMA,,500,2025/03/01
Jamal ,,500,"March 1, 2025"
RAFI,,450,01-03-2025
RAFI,,800,"March 1, 2025"
SALMA,karim@gmail.com,700,01-03-2025
RAFI,karim@gmail.com,1200,01-03-2025
,,1200,"March 1, 2025"
 nabila,salma@gmail.com,,"March 1, 2025"
 nabila,,One Thousand,
 Rahim ,,500,2025/03/01
SALMA,,700,2025/03/01
 Rahim ,salma@gmail.com,1200,2025/03/01
karim,,800,01-03-2025
SALMA,rahim@gmail.com,1200,2025/03/01
 nabila,,450,01-03-2025
SALMA,,800,01-03-2025
Jamal ,karim@gmail.com,700,
 nabila,salma@gmail.com,500,01-03-2025
SALMA,karim@gmail.com,700,
RAFI,,1200,2025/03/01
